Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	# unaligned contigs_partial	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# genomic features_partial	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
GCF_000172335.2_ASM17233v2_genomic	24.0	24.0	24.0	24.0	21.0	7.0	1485884.0	1485884.0	1485884.0	1485884.0	1435683.0	1008991.0	24.0	408550.0	1485884.0	1521208.0	28.43	28.18	169176.0	87194.0	28645.0	26992.0	174006.7	169966.1	3.0	4.0	18.0	19.0	12.0	9.0	665506.0	6.0	0.0	0.0	1.0	0.0	7.0	87676.0	88.174	1.042	0.13	444.76	34.5	1425.0	40.0	218302.0	1396946.0	169176.0	87194.0	9720.0	7195.0	113374.9	110742.3	4.0	5.0	24.0	28.0
GCF_000181555.2_ASM18155v2_genomic	32.0	28.0	21.0	21.0	14.0	2.0	1469834.0	1466865.0	1456916.0	1456916.0	1314751.0	962699.0	31.0	908814.0	1469559.0	1521208.0	28.13	28.18	908814.0	908814.0	24910.0	23638.0	573107.5	553649.0	1.0	1.0	15.0	17.0	18.0	10.0	1172359.0	26.0	0.0	0.0	6.0	0.0	19.0	209130.0	79.32	1.044	5.65	881.52	57.29	1264.0	39.0	468260.0	1260214.0	435160.0	435160.0	-	-	282674.8	273077.2	2.0	2.0	-	-
GCF_000181575.2_ASM18157v2_genomic	20.0	20.0	19.0	19.0	14.0	5.0	1321434.0	1321434.0	1318733.0	1318733.0	1234899.0	962871.0	20.0	471200.0	1321434.0	1521208.0	28.59	28.18	170966.0	170966.0	28200.0	-	229884.1	199694.3	3.0	3.0	13.0	-	10.0	6.0	156416.0	5.0	0.0	0.0	1.0	2.0	7.0	112501.0	77.384	1.026	0.0	571.41	34.76	1242.0	33.0	471194.0	1208236.0	170966.0	170966.0	3362.0	-	226335.3	196611.6	3.0	3.0	19.0	-
GCF_000181715.2_ASM18171v2_genomic	25.0	22.0	20.0	19.0	16.0	6.0	1295451.0	1293275.0	1286421.0	1277725.0	1217238.0	907911.0	24.0	216266.0	1295058.0	1521208.0	28.26	28.18	169491.0	169491.0	26507.0	-	131331.6	111807.2	4.0	4.0	15.0	-	16.0	6.0	167894.0	9.0	0.0	0.0	2.0	1.0	12.0	99932.0	76.285	1.029	0.08	778.57	42.03	1201.0	53.0	216266.0	1194492.0	169491.0	169491.0	3932.0	-	126815.8	107962.7	4.0	4.0	23.0	-
GCF_000181855.2_ASM18185v2_genomic	54.0	52.0	44.0	38.0	25.0	6.0	1427907.0	1426086.0	1404416.0	1364903.0	1137135.0	510948.0	54.0	147840.0	1427907.0	1521208.0	28.31	28.18	36967.0	33777.0	16824.0	8706.0	53385.5	50111.2	11.0	12.0	33.0	39.0	24.0	14.0	394426.0	10.0	0.0	0.0	3.0	0.0	15.0	114883.0	80.442	1.072	0.0	939.06	76.21	1236.0	60.0	147832.0	1312160.0	33777.0	28321.0	2330.0	-	48433.7	45463.1	11.0	13.0	59.0	-
GCF_002151465.1_ASM215146v1_genomic	12.0	12.0	12.0	12.0	11.0	3.0	1288112.0	1288112.0	1288112.0	1288112.0	1271292.0	1016542.0	12.0	909921.0	1288112.0	1521208.0	28.35	28.18	909921.0	909921.0	30580.0	-	653782.8	553603.1	1.0	1.0	8.0	-	1.0	1.0	30674.0	1.0	0.0	0.0	0.0	0.0	2.0	2718.0	82.706	1.022	0.0	44.27	10.74	1376.0	4.0	909921.0	1285192.0	909921.0	909921.0	30223.0	-	653391.7	553271.9	1.0	1.0	8.0	-
GCF_002151485.1_ASM215148v1_genomic	11.0	11.0	11.0	11.0	10.0	5.0	1301554.0	1301554.0	1301554.0	1301554.0	1284754.0	1136219.0	11.0	910728.0	1301554.0	1521208.0	28.51	28.18	910728.0	910728.0	36846.0	-	650734.9	556772.4	1.0	1.0	6.0	-	4.0	3.0	150115.0	2.0	0.0	0.0	0.0	0.0	2.0	13510.0	83.072	1.019	0.0	110.48	14.05	1400.0	9.0	910728.0	1288038.0	910728.0	910728.0	28157.0	-	648292.6	554682.8	1.0	1.0	8.0	-
GCF_002151505.1_ASM215150v1_genomic	13.0	13.0	13.0	13.0	11.0	4.0	1341182.0	1341182.0	1341182.0	1341182.0	1302470.0	1077940.0	13.0	909921.0	1341182.0	1521208.0	28.45	28.18	909921.0	909921.0	30651.0	-	630401.3	555797.0	1.0	1.0	8.0	-	2.0	2.0	92663.0	1.0	0.0	0.0	0.0	0.0	2.0	13510.0	85.499	1.021	0.0	93.47	15.29	1430.0	10.0	909921.0	1327665.0	909921.0	909921.0	30222.0	-	628487.5	554109.7	1.0	1.0	9.0	-
GCF_002442595.2_ASM244259v2_genomic	19.0	19.0	19.0	18.0	14.0	2.0	1409089.0	1409089.0	1409089.0	1400375.0	1318614.0	957413.0	19.0	903654.0	1409089.0	1521208.0	28.3	28.18	903654.0	903654.0	27643.0	18340.0	590634.8	547102.7	1.0	1.0	13.0	17.0	24.0	12.0	374760.0	10.0	0.0	0.0	3.0	0.0	13.0	113068.0	78.783	1.08	0.0	932.37	60.88	1250.0	39.0	903464.0	1294341.0	903464.0	903464.0	2247.0	-	585142.7	542015.4	1.0	1.0	30.0	-
GCF_003367295.1_ASM336729v1_genomic	16.0	16.0	16.0	16.0	9.0	2.0	1280240.0	1280240.0	1280240.0	1280240.0	1161007.0	962310.0	16.0	908512.0	1280240.0	1521208.0	28.24	28.18	908512.0	908512.0	26507.0	-	653097.9	549643.5	1.0	1.0	9.0	-	16.0	6.0	133618.0	7.0	0.0	0.0	3.0	0.0	12.0	123725.0	75.032	1.009	0.0	758.69	44.05	1183.0	49.0	904648.0	1151059.0	904648.0	904648.0	-	-	643463.5	541535.2	1.0	1.0	-	-
GCF_019134655.1_ASM1913465v1_genomic	11.0	11.0	11.0	11.0	10.0	2.0	1217256.0	1217256.0	1217256.0	1217256.0	1199051.0	961768.0	11.0	909995.0	1217256.0	1521208.0	28.45	28.18	909995.0	909995.0	29645.0	-	688566.0	550983.9	1.0	1.0	7.0	-	13.0	6.0	179875.0	9.0	0.0	0.0	0.0	0.0	8.0	74069.0	73.334	1.018	1.64	837.36	39.56	1160.0	32.0	904588.0	1135119.0	904588.0	904588.0	7716.0	-	676857.7	541615.1	1.0	1.0	11.0	-
GCF_019464575.1_ASM1946457v1_genomic	19.0	19.0	19.0	19.0	15.0	2.0	1429304.0	1429304.0	1429304.0	1429304.0	1346823.0	957418.0	19.0	903660.0	1429304.0	1521208.0	28.21	28.18	903660.0	903660.0	27715.0	24387.0	582816.1	547605.2	1.0	1.0	13.0	16.0	30.0	14.0	427297.0	12.0	0.0	0.0	2.0	0.0	13.0	100342.0	81.123	1.076	0.0	948.06	69.76	1278.0	40.0	903470.0	1327445.0	903470.0	903470.0	3158.0	-	577381.0	542498.4	1.0	1.0	26.0	-
GCF_024662155.1_ASM2466215v1_genomic	18.0	18.0	18.0	18.0	14.0	2.0	1392060.0	1392060.0	1392060.0	1392060.0	1314493.0	956810.0	18.0	903249.0	1392060.0	1521208.0	28.26	28.18	903249.0	903249.0	27525.0	18341.0	596979.7	546297.1	1.0	1.0	12.0	17.0	23.0	12.0	370887.0	8.0	0.0	0.0	3.0	0.0	13.0	105249.0	79.527	1.063	0.0	892.56	59.71	1256.0	37.0	903249.0	1286194.0	903249.0	903249.0	2562.0	-	592135.9	541864.6	1.0	1.0	25.0	-
GCF_024662175.1_ASM2466217v1_genomic	18.0	18.0	18.0	18.0	15.0	2.0	1417706.0	1417706.0	1417706.0	1417706.0	1357402.0	974305.0	18.0	920773.0	1417706.0	1521208.0	28.16	28.18	920773.0	920773.0	28768.0	21173.0	608890.7	567462.2	1.0	1.0	12.0	16.0	18.0	10.0	1203046.0	14.0	0.0	0.0	3.0	0.0	15.0	177750.0	78.659	1.036	0.0	844.86	51.95	1255.0	46.0	905132.0	1239616.0	905132.0	905132.0	-	-	582296.2	542677.2	1.0	1.0	-	-
GCF_024662195.1_ASM2466219v1_genomic	21.0	21.0	21.0	20.0	17.0	3.0	1513701.0	1513701.0	1513701.0	1504314.0	1444849.0	1015796.0	21.0	909655.0	1513701.0	1521208.0	28.2	28.18	909655.0	909655.0	28447.0	28332.0	560014.8	557251.1	1.0	1.0	14.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.439	1.0	0.0	1.98	4.36	1669.0	16.0	909651.0	1512668.0	909651.0	909651.0	28332.0	27991.0	559971.8	557208.4	1.0	1.0	14.0	15.0
GCF_040790715.1_ASM4079071v1_genomic	14.0	14.0	14.0	14.0	11.0	2.0	1289159.0	1289159.0	1289159.0	1289159.0	1222603.0	962616.0	14.0	908738.0	1289159.0	1521208.0	28.02	28.18	908738.0	908738.0	27454.0	-	649834.5	550707.0	1.0	1.0	9.0	-	20.0	9.0	1163183.0	11.0	0.0	0.0	2.0	0.0	11.0	110239.0	77.188	1.003	0.0	730.03	47.72	1224.0	35.0	468321.0	1177616.0	435045.0	435045.0	2437.0	-	321701.9	272628.7	2.0	2.0	21.0	-
GCF_040790735.1_ASM4079073v1_genomic	18.0	18.0	18.0	18.0	13.0	2.0	1391486.0	1391486.0	1391486.0	1391486.0	1288594.0	963376.0	18.0	909471.0	1391486.0	1521208.0	28.27	28.18	909471.0	909471.0	27192.0	18015.0	605012.4	553419.5	1.0	1.0	12.0	17.0	20.0	11.0	1204252.0	14.0	0.0	0.0	2.0	0.0	16.0	156722.0	78.701	1.031	0.07	833.46	45.12	1268.0	33.0	468258.0	1234607.0	435179.0	435179.0	-	-	298641.1	273174.2	2.0	2.0	-	-
GCF_040790745.1_ASM4079074v1_genomic	18.0	18.0	18.0	17.0	12.0	2.0	1371468.0	1371468.0	1371468.0	1362746.0	1260568.0	956638.0	18.0	902797.0	1371468.0	1521208.0	28.18	28.18	902797.0	902797.0	26498.0	8722.0	604810.6	545276.1	1.0	1.0	12.0	18.0	18.0	8.0	251347.0	7.0	0.0	0.0	4.0	1.0	14.0	131138.0	80.962	1.006	0.36	860.85	53.89	1284.0	53.0	902617.0	1239475.0	902617.0	902617.0	912.0	-	599585.0	540564.9	1.0	1.0	39.0	-
GCF_040790755.1_ASM4079075v1_genomic	16.0	16.0	16.0	14.0	12.0	2.0	1321156.0	1321156.0	1321156.0	1307066.0	1262263.0	957421.0	16.0	902698.0	1321156.0	1521208.0	28.35	28.18	902698.0	902698.0	29570.0	-	626997.0	544541.5	1.0	1.0	10.0	-	21.0	10.0	293639.0	11.0	0.0	0.0	0.0	0.0	10.0	64441.0	80.789	1.021	0.08	838.73	53.63	1287.0	52.0	902578.0	1254867.0	902578.0	902578.0	8843.0	-	623028.2	541094.6	1.0	1.0	15.0	-
GCF_040790765.1_ASM4079076v1_genomic	19.0	19.0	18.0	17.0	15.0	2.0	1397896.0	1397896.0	1393143.0	1383762.0	1340585.0	963746.0	19.0	910079.0	1397896.0	1521208.0	28.28	28.18	910079.0	910079.0	27762.0	18208.0	603159.6	554266.3	1.0	1.0	12.0	17.0	16.0	6.0	149059.0	6.0	0.0	0.0	5.0	0.0	14.0	171625.0	77.689	1.031	0.0	832.72	44.26	1243.0	36.0	904581.0	1217932.0	904581.0	904581.0	-	-	589951.2	542128.7	1.0	1.0	-	-
GCF_040790775.1_ASM4079077v1_genomic	17.0	17.0	17.0	17.0	14.0	3.0	1417953.0	1417953.0	1417953.0	1417953.0	1357768.0	1014483.0	17.0	907632.0	1417953.0	1521208.0	28.07	28.18	907632.0	907632.0	28647.0	24443.0	593516.4	553230.3	1.0	1.0	12.0	15.0	4.0	2.0	53090.0	0.0	0.0	0.0	0.0	0.0	2.0	2903.0	92.908	1.001	0.0	1.06	3.96	1538.0	9.0	907632.0	1414283.0	907632.0	907632.0	28599.0	20854.0	593283.5	553013.2	1.0	1.0	12.0	15.0
GCF_040790785.1_ASM4079078v1_genomic	18.0	18.0	18.0	17.0	14.0	2.0	1383845.0	1383845.0	1383845.0	1375138.0	1310904.0	963746.0	18.0	910048.0	1383845.0	1521208.0	28.34	28.18	910048.0	910048.0	27456.0	18115.0	608897.0	553914.4	1.0	1.0	12.0	17.0	14.0	5.0	134894.0	6.0	0.0	0.0	6.0	0.0	14.0	155833.0	78.758	1.018	0.07	813.36	47.49	1269.0	42.0	904600.0	1219136.0	904600.0	904600.0	-	-	596078.7	542253.6	1.0	1.0	-	-
GCF_040790795.1_ASM4079079v1_genomic	16.0	16.0	16.0	16.0	11.0	2.0	1325608.0	1325608.0	1325608.0	1325608.0	1226350.0	970623.0	16.0	916773.0	1325608.0	1521208.0	28.07	28.18	916773.0	916773.0	26512.0	-	643292.9	560577.0	1.0	1.0	10.0	-	15.0	8.0	1131317.0	12.0	0.0	0.0	4.0	0.0	14.0	159830.0	76.097	1.007	0.0	684.36	44.78	1201.0	34.0	467363.0	1165617.0	434879.0	434879.0	-	-	311507.1	271452.9	2.0	2.0	-	-
GCF_040790805.1_ASM4079080v1_genomic	12.0	12.0	12.0	12.0	9.0	2.0	1216633.0	1216633.0	1216633.0	1216633.0	1174743.0	961550.0	12.0	907880.0	1216633.0	1521208.0	28.44	28.18	907880.0	907880.0	29924.0	-	685727.8	548431.9	1.0	1.0	7.0	-	4.0	3.0	968626.0	0.0	0.0	0.0	0.0	0.0	2.0	2737.0	79.66	1.001	0.0	51.83	13.27	1297.0	12.0	867188.0	1213469.0	867188.0	867188.0	26603.0	-	627176.4	501603.6	1.0	1.0	8.0	-
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	15.0	15.0	15.0	15.0	12.0	2.0	1341511.0	1341511.0	1341511.0	1341511.0	1284530.0	964042.0	15.0	910259.0	1341511.0	1521208.0	28.43	28.18	910259.0	910259.0	28903.0	-	628530.9	554283.9	1.0	1.0	10.0	-	4.0	2.0	46260.0	6.0	0.0	0.0	2.0	3.0	5.0	140728.0	78.539	1.004	0.0	525.65	34.93	1255.0	25.0	910146.0	1199459.0	910146.0	910146.0	-	-	623853.3	550158.9	1.0	1.0	-	-
K89HH	150.0	66.0	32.0	25.0	15.0	2.0	1557782.0	1522401.0	1447581.0	1404448.0	1233769.0	826996.0	98.0	552693.0	1545632.0	1521208.0	28.05	28.18	274303.0	274303.0	11525.0	15555.0	257152.6	261281.4	2.0	2.0	24.0	22.0	20.0	14.0	802892.0	15.0	0.0	0.0	4.0	9.0	24.0	144656.0	85.122	1.075	0.0	794.74	55.63	1327.0	83.0	437440.0	1391393.0	115253.0	115253.0	504.0	994.0	187570.3	190581.9	3.0	3.0	102.0	72.0
UCT109H	28.0	17.0	17.0	17.0	16.0	3.0	1476377.0	1472225.0	1472225.0	1472225.0	1450182.0	1020649.0	20.0	910570.0	1474783.0	1521208.0	28.25	28.18	910570.0	910570.0	30299.0	29838.0	576600.9	559003.9	1.0	1.0	12.0	14.0	12.0	9.0	278157.0	1.0	0.0	0.0	0.0	0.0	3.0	13234.0	93.149	1.031	0.0	119.4	16.16	1538.0	32.0	910570.0	1460695.0	910570.0	910570.0	26498.0	24180.0	573745.0	556235.2	1.0	1.0	14.0	15.0
UCT110H	114.0	27.0	18.0	16.0	10.0	3.0	1417187.0	1388643.0	1370312.0	1356626.0	1218925.0	1014186.0	43.0	906810.0	1400171.0	1521208.0	28.16	28.18	906810.0	906810.0	24648.0	6008.0	598070.9	550484.5	1.0	1.0	12.0	18.0	18.0	9.0	218940.0	5.0	0.0	0.0	6.0	5.0	16.0	193559.0	77.967	1.015	0.0	747.51	42.21	1242.0	51.0	904647.0	1203597.0	904647.0	904647.0	-	-	588375.8	541560.8	1.0	1.0	-	-
UCT113H	253.0	24.0	16.0	13.0	5.0	2.0	1304891.0	1241570.0	1228925.0	1206704.0	1043164.0	961288.0	60.0	905788.0	1265811.0	1521208.0	28.12	28.18	905788.0	905788.0	19970.0	-	655243.8	545234.4	1.0	1.0	10.0	-	19.0	9.0	186222.0	5.0	0.0	0.0	1.0	16.0	12.0	108208.0	75.122	1.011	0.0	683.13	35.66	1178.0	63.0	904982.0	1155410.0	904982.0	904982.0	912.0	-	650666.7	541425.7	1.0	1.0	36.0	-
UCT124H	50.0	25.0	23.0	20.0	15.0	2.0	1510565.0	1502065.0	1499582.0	1471277.0	1357766.0	954420.0	31.0	900914.0	1506196.0	1521208.0	28.23	28.18	900914.0	900914.0	25182.0	24711.0	551160.4	545721.3	1.0	1.0	15.0	16.0	9.0	9.0	245290.0	9.0	0.0	0.0	1.0	3.0	6.0	41536.0	90.035	1.068	0.0	405.69	34.88	1451.0	42.0	900907.0	1462204.0	900907.0	900907.0	14024.0	12845.0	548604.7	543190.8	1.0	1.0	19.0	20.0
UCT29H	24.0	22.0	21.0	20.0	18.0	3.0	1559716.0	1559264.0	1558259.0	1548879.0	1506001.0	1039953.0	22.0	910485.0	1559264.0	1521208.0	28.19	28.18	910485.0	910485.0	29761.0	29787.0	547345.6	561038.5	1.0	1.0	15.0	14.0	19.0	12.0	395586.0	11.0	0.0	0.0	0.0	0.0	6.0	19872.0	97.068	1.041	0.0	224.26	28.36	1601.0	34.0	910485.0	1537487.0	910485.0	910485.0	17050.0	20828.0	543026.4	556611.2	1.0	1.0	18.0	16.0
UCT30H	89.0	24.0	19.0	16.0	13.0	5.0	1471861.0	1451933.0	1446321.0	1424175.0	1360365.0	1122656.0	38.0	905470.0	1461527.0	1521208.0	28.17	28.18	905470.0	905470.0	26498.0	21483.0	574986.3	552428.1	1.0	1.0	12.0	14.0	30.0	12.0	308645.0	9.0	0.0	0.0	3.0	6.0	16.0	230680.0	79.193	1.018	0.0	777.99	55.55	1260.0	51.0	904647.0	1225854.0	904647.0	904647.0	-	-	563737.3	541620.4	1.0	1.0	-	-
UCT31H	32.0	21.0	21.0	20.0	19.0	2.0	1531745.0	1527664.0	1527664.0	1518289.0	1496330.0	964311.0	24.0	910624.0	1530196.0	1521208.0	28.23	28.18	910624.0	910624.0	30001.0	30001.0	555326.6	558607.8	1.0	1.0	15.0	15.0	16.0	9.0	241165.0	6.0	0.0	0.0	0.0	0.0	6.0	28793.0	94.179	1.047	0.0	228.94	28.73	1555.0	38.0	910624.0	1499967.0	910624.0	910624.0	19402.0	20834.0	552816.8	556083.1	1.0	1.0	17.0	16.0
UCT32H	57.0	27.0	20.0	19.0	14.0	3.0	1501989.0	1490687.0	1481242.0	1473819.0	1357193.0	1027511.0	34.0	921072.0	1495867.0	1521208.0	28.2	28.18	921072.0	921072.0	26514.0	24813.0	579427.1	569774.7	1.0	1.0	14.0	15.0	28.0	13.0	1252893.0	14.0	0.0	0.0	4.0	1.0	18.0	207098.0	80.123	1.056	0.0	932.44	58.02	1268.0	62.0	905458.0	1287379.0	905458.0	905458.0	-	-	552389.4	543187.4	1.0	1.0	-	-
UCT35H	33.0	17.0	15.0	13.0	9.0	4.0	1350407.0	1343430.0	1339686.0	1323410.0	1259344.0	1102010.0	22.0	910022.0	1347562.0	1521208.0	27.99	28.18	910022.0	910022.0	27690.0	-	629080.9	557271.2	1.0	1.0	8.0	-	19.0	3.0	148683.0	10.0	0.0	0.0	3.0	4.0	13.0	192858.0	74.828	1.012	0.0	684.11	34.37	1176.0	46.0	904580.0	1152162.0	904580.0	904580.0	-	-	611163.8	541399.4	1.0	1.0	-	-
UCT50H	90.0	22.0	15.0	13.0	8.0	3.0	1341231.0	1316541.0	1306146.0	1290411.0	1184780.0	1022844.0	41.0	902761.0	1329478.0	1521208.0	28.33	28.18	902761.0	902761.0	24152.0	-	624359.2	545666.2	1.0	1.0	9.0	-	16.0	5.0	217544.0	4.0	0.0	0.0	5.0	6.0	14.0	118509.0	78.509	1.014	0.0	796.43	55.42	1232.0	74.0	902581.0	1210653.0	902581.0	902581.0	879.0	-	617489.9	539662.7	1.0	1.0	38.0	-
UCT92H	62.0	23.0	22.0	22.0	19.0	2.0	1537760.0	1525846.0	1524653.0	1524653.0	1467020.0	960502.0	29.0	906713.0	1530632.0	1521208.0	28.17	28.18	906713.0	906713.0	26061.0	26061.0	549772.5	553178.4	1.0	1.0	16.0	16.0	29.0	13.0	329486.0	8.0	0.0	0.0	5.0	4.0	19.0	235271.0	80.024	1.063	0.0	909.46	55.27	1286.0	47.0	904607.0	1293626.0	904607.0	904607.0	-	-	538746.5	542084.1	1.0	1.0	-	-
UCT95H	15.0	15.0	15.0	14.0	14.0	8.0	1491903.0	1491903.0	1491903.0	1483482.0	1483482.0	1275380.0	15.0	893639.0	1491903.0	1521208.0	28.24	28.18	893639.0	893639.0	34581.0	33779.0	554359.4	543680.0	1.0	1.0	10.0	11.0	20.0	7.0	337227.0	5.0	0.0	0.0	4.0	1.0	11.0	232092.0	74.381	1.11	0.0	917.34	850.0	1195.0	46.0	893337.0	1256354.0	893337.0	893337.0	-	-	539810.7	529411.6	1.0	1.0	-	-
UCT96H	35.0	24.0	22.0	21.0	15.0	2.0	1481271.0	1477643.0	1471437.0	1464187.0	1358955.0	954451.0	26.0	900898.0	1479028.0	1521208.0	28.17	28.18	900898.0	900898.0	27034.0	22594.0	560751.3	545202.8	1.0	1.0	14.0	16.0	20.0	13.0	298543.0	8.0	0.0	0.0	1.0	0.0	7.0	33114.0	90.804	1.045	0.0	434.17	32.7	1468.0	48.0	900898.0	1443446.0	900898.0	900898.0	14517.0	9670.0	557917.9	542448.0	1.0	1.0	18.0	22.0
UNY1032P	18.0	18.0	18.0	18.0	16.0	3.0	1459435.0	1459435.0	1459435.0	1459435.0	1418114.0	1017137.0	18.0	910572.0	1459435.0	1521208.0	28.3	28.18	910572.0	910572.0	29838.0	27414.0	581190.3	557589.4	1.0	1.0	13.0	15.0	3.0	3.0	91704.0	0.0	0.0	0.0	0.0	0.0	3.0	7014.0	93.671	1.019	0.0	88.25	15.5	1555.0	22.0	910572.0	1451592.0	910572.0	910572.0	26597.0	24180.0	580255.8	556692.9	1.0	1.0	13.0	15.0
UNY1038P	19.0	19.0	19.0	18.0	13.0	2.0	1403595.0	1403595.0	1403595.0	1394201.0	1288571.0	969567.0	19.0	915733.0	1403595.0	1521208.0	28.19	28.18	915733.0	915733.0	26514.0	20343.0	607789.6	560798.0	1.0	1.0	13.0	17.0	18.0	10.0	1178740.0	15.0	0.0	0.0	4.0	0.0	15.0	198293.0	78.419	1.012	0.0	743.29	45.05	1243.0	49.0	905458.0	1207607.0	905458.0	905458.0	-	-	588024.0	542560.6	1.0	1.0	-	-
UNY1083P	226.0	33.0	23.0	18.0	9.0	3.0	1494188.0	1433590.0	1410159.0	1376368.0	1221987.0	1032502.0	59.0	923130.0	1449517.0	1521208.0	28.28	28.18	923130.0	923130.0	16711.0	13481.0	598346.9	570148.2	1.0	1.0	14.0	18.0	28.0	12.0	1177439.0	12.0	0.0	0.0	6.0	21.0	19.0	192215.0	80.312	1.024	0.0	795.09	55.07	1279.0	56.0	909598.0	1251049.0	909598.0	909598.0	-	-	575253.7	548143.3	1.0	1.0	-	-
UNY1085P	18.0	18.0	18.0	18.0	14.0	2.0	1409080.0	1409080.0	1409080.0	1409080.0	1323667.0	957251.0	18.0	903386.0	1409080.0	1521208.0	28.3	28.18	903386.0	903386.0	27704.0	22534.0	590587.9	547055.8	1.0	1.0	12.0	16.0	19.0	7.0	218340.0	5.0	0.0	0.0	2.0	2.0	11.0	163200.0	79.803	1.023	0.0	878.26	57.4	1261.0	45.0	903207.0	1242119.0	903207.0	903207.0	-	-	584534.5	541448.5	1.0	1.0	-	-
UNY1090P	19.0	19.0	19.0	19.0	13.0	2.0	1413250.0	1413250.0	1413250.0	1413250.0	1287170.0	966596.0	19.0	912713.0	1413250.0	1521208.0	28.35	28.18	912713.0	912713.0	25500.0	21337.0	600073.1	557486.8	1.0	1.0	13.0	17.0	17.0	9.0	263584.0	11.0	0.0	0.0	5.0	0.0	16.0	168851.0	78.991	1.029	0.0	827.41	42.21	1273.0	35.0	904987.0	1236632.0	904987.0	904987.0	-	-	584325.4	542856.7	1.0	1.0	-	-
UNY1128P	277.0	30.0	20.0	18.0	11.0	5.0	1488312.0	1431447.0	1407708.0	1393600.0	1273967.0	1093396.0	43.0	709546.0	1440836.0	1521208.0	28.23	28.18	213832.0	213832.0	20737.0	15263.0	393279.6	372500.9	2.0	2.0	13.0	17.0	27.0	8.0	938889.0	14.0	0.0	0.0	3.0	8.0	16.0	173847.0	81.65	1.017	0.9	828.82	65.41	1305.0	64.0	696081.0	1262754.0	213816.0	213816.0	-	-	372768.3	353073.4	2.0	2.0	-	-
UNY149P	19.0	19.0	19.0	19.0	14.0	2.0	1427032.0	1427032.0	1427032.0	1427032.0	1318132.0	969575.0	19.0	915733.0	1427032.0	1521208.0	28.23	28.18	915733.0	915733.0	26726.0	21172.0	598460.0	561410.1	1.0	1.0	13.0	17.0	21.0	11.0	1211948.0	21.0	0.0	0.0	3.0	0.0	16.0	190341.0	79.957	1.016	0.0	841.47	49.76	1284.0	51.0	905458.0	1236049.0	905458.0	905458.0	-	-	578834.4	542999.5	1.0	1.0	-	-
UNY169P	17.0	17.0	17.0	16.0	12.0	2.0	1346761.0	1346761.0	1346761.0	1338039.0	1259766.0	956581.0	17.0	902773.0	1346761.0	1521208.0	28.24	28.18	902773.0	902773.0	27768.0	-	615412.7	544839.3	1.0	1.0	11.0	-	18.0	9.0	266473.0	7.0	0.0	0.0	2.0	1.0	13.0	120825.0	80.421	1.001	0.0	855.1	53.06	1267.0	57.0	902593.0	1225119.0	902593.0	902593.0	2241.0	-	610379.1	540382.9	1.0	1.0	26.0	-
UNY172P	16.0	16.0	16.0	16.0	12.0	2.0	1352494.0	1352494.0	1352494.0	1352494.0	1267080.0	957249.0	16.0	903384.0	1352494.0	1521208.0	28.28	28.18	903384.0	903384.0	27706.0	-	614108.0	545998.6	1.0	1.0	11.0	-	17.0	6.0	188537.0	3.0	0.0	0.0	1.0	2.0	9.0	131995.0	78.963	1.013	0.0	841.18	53.26	1245.0	38.0	903205.0	1216738.0	903205.0	903205.0	575.0	-	608841.9	541316.5	1.0	1.0	31.0	-
UNY193P	19.0	19.0	19.0	17.0	15.0	2.0	1403883.0	1403883.0	1403883.0	1389234.0	1346097.0	964090.0	19.0	910086.0	1403883.0	1521208.0	28.38	28.18	910086.0	910086.0	27704.0	24809.0	600849.4	554508.2	1.0	1.0	12.0	16.0	10.0	6.0	182795.0	9.0	0.0	0.0	2.0	2.0	12.0	183613.0	76.995	1.037	0.0	769.19	46.76	1223.0	37.0	904873.0	1214653.0	904873.0	904873.0	-	-	588240.9	542872.1	1.0	1.0	-	-
UNY203P	17.0	17.0	17.0	15.0	12.0	2.0	1326072.0	1326072.0	1326072.0	1312122.0	1253245.0	963850.0	17.0	910084.0	1326072.0	1521208.0	28.24	28.18	910084.0	910084.0	27810.0	-	634069.6	552733.1	1.0	1.0	10.0	-	15.0	6.0	156154.0	6.0	0.0	0.0	4.0	1.0	12.0	163060.0	74.574	1.02	0.0	731.32	33.69	1184.0	50.0	904630.0	1157499.0	904630.0	904630.0	-	-	620935.1	541283.4	1.0	1.0	-	-
