CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00922	group_966
CFHKPG_00923	group_965
CFHKPG_00924	group_116
CFHKPG_00925	group_964
CFHKPG_00926	group_963
CFHKPG_00927	group_962
CFHKPG_00928	Lyme disease proteins of unknown function
CFHKPG_00929	group_1663
CFHKPG_00930	DUF1357 domain-containing protein
CFHKPG_00931	DUF1073 domain-containing protein
CFHKPG_00933	xtmB
CFHKPG_00934	Phage protein
CFHKPG_00935	group_428
CFHKPG_00936	erpX
CFHKPG_00937	group_48
CFHKPG_00938	group_1981
CFHKPG_00939	yqaJ
CFHKPG_00940	KID repeat family protein
CFHKPG_00941	group_491
CFHKPG_00942	group_280
CFHKPG_00943	Borrelia family protein
CFHKPG_00944	BBC01
CFHKPG_00945	group_2047
CFHKPG_00946	mlpJ
CFHKPG_00947	repU
CFHKPG_00948	Outer membrane protein
CFHKPG_00949	Borrelia BBR25 lipoprotein
CFHKPG_00950	ORF12/BlyB
CFHKPG_00951	blyA
CFHKPG_00952	DUF685 domain-containing protein
CFHKPG_00953	group_1465
CFHKPG_00954	DUF276 domain-containing protein
CFHKPG_00955	DUF2634 domain-containing protein
CFHKPG_00956	DUF777 domain-containing protein
CFHKPG_00957	ORF05
CFHKPG_00958	DUF792 domain-containing protein
CFHKPG_00959	DUF759 domain-containing protein
CFHKPG_00960	group_1732
CFHKPG_00961	group_2028
CFHKPG_00962	group_1818
CFHKPG_00963	Phage tail sheath protein
CFHKPG_00964	DUF764 domain-containing protein
CFHKPG_00965	Plasmid cp32-4, sequence at position 4-6kb
CFHKPG_00966	DUF1506 domain-containing protein
CFHKPG_00967	DUF3890 domain-containing protein
CFHKPG_00968	group_1506
CFHKPG_00969	DUF228 domain-containing protein
CFHKPG_00970	group_960
CFHKPG_00971	group_959
CFHKPG_00972	group_489
CFHKPG_00973	group_321
CFHKPG_00974	group_559
CFHKPG_00975	group_958
CFHKPG_00976	group_473
CFHKPG_00977	group_680
CFHKPG_00978	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
CFHKPG_00979	group_474
CFHKPG_00980	group_72
CFHKPG_00982	group_475
CFHKPG_00990	group_70
CFHKPG_00991	group_268
CFHKPG_00992	Surface antigen
CFHKPG_00993	group_93
CFHKPG_00994	group_269
CFHKPG_00997	Outer membrane lipoprotein-sorting protein
CFHKPG_00998	group_472
CFHKPG_00999	group_678
CFHKPG_01000	group_677
CFHKPG_01001	group_676
CFHKPG_01002	group_1325
CFHKPG_01003	group_955
CFHKPG_01004	group_774
CFHKPG_01005	group_471
CFHKPG_01006	group_470
CFHKPG_01007	group_173
CFHKPG_01008	group_267
CFHKPG_01009	group_469
CFHKPG_01010	ospD
CFHKPG_01011	group_69
CFHKPG_01012	group_134
CFHKPG_01013	putative antigen P35
CFHKPG_01014	Bbk50-like
CFHKPG_01015	Bbk49-like
CFHKPG_01016	Immunogenic protein P37, putative
CFHKPG_01017	Bbk47-like
CFHKPG_01018	Immunogenic protein P37
CFHKPG_01020	group_81
CFHKPG_01021	group_817
CFHKPG_01022	Uncharacterized protein BB_K41
CFHKPG_01023	fzo-like conserved region
CFHKPG_01024	group_524
CFHKPG_01025	group_819
CFHKPG_01026	group_525
CFHKPG_01027	group_312
CFHKPG_01028	group_169
CFHKPG_01029	fibronectin-binding protein
CFHKPG_01030	hypothetical protein
CFHKPG_01031	group_266
CFHKPG_01032	group_669
CFHKPG_01033	group_668
CFHKPG_01034	Borrelia family protein PFam57/62
CFHKPG_01035	DUF226 domain-containing protein
CFHKPG_01036	group_665
CFHKPG_01037	group_467
CFHKPG_01038	ade
CFHKPG_01039	Putative antigen, P35
CFHKPG_01040	sIMPL
CFHKPG_01041	Lipoprotein
CFHKPG_01042	group_820
CFHKPG_01043	group_264
CFHKPG_01046	group_821
CFHKPG_01047	group_527
CFHKPG_01048	Site-specific DNA-methyltransferase (adenine-specific)
CFHKPG_01049	group_98
CFHKPG_01050	Variable large protein
CFHKPG_01053	group_970
CFHKPG_01054	group_971
CFHKPG_01055	group_540
CFHKPG_01056	group_907
CFHKPG_01057	group_541
CFHKPG_01058	group_972
CFHKPG_01059	Borrelia ORF-A superfamily
CFHKPG_01060	group_543
CFHKPG_01061	group_908
CFHKPG_01062	group_544
CFHKPG_01063	group_909
CFHKPG_01064	Uncharacterized lipoprotein BBF20
CFHKPG_01065	Transposase
CFHKPG_01066	Transmembrane protein
CFHKPG_01068	group_656
CFHKPG_01069	group_655
CFHKPG_01070	Putative plasmid partition protein
CFHKPG_01073	group_322
CFHKPG_01074	group_974
CFHKPG_01075	erpD
CFHKPG_01076	group_323
CFHKPG_01081	group_600
CFHKPG_01082	group_539
CFHKPG_01083	Blasticidin-S acetyltransferase
CFHKPG_01084	group_905
CFHKPG_01085	group_253
CFHKPG_01086	group_252
CFHKPG_01087	pncA
CFHKPG_01088	group_165
CFHKPG_01089	group_164
CFHKPG_01090	group_645
CFHKPG_01091	group_451
CFHKPG_01092	Borrelial persistence in ticks protein A
CFHKPG_01093	group_978
CFHKPG_01094	group_163
CFHKPG_01095	group_450
CFHKPG_01096	group_67
CFHKPG_01097	Uncharacterized domain protein
CFHKPG_01098	Type I restriction enzyme R protein (HSDR_N)
CFHKPG_01102	group_2061
CFHKPG_01103	group_2020
CFHKPG_01108	bppA
CFHKPG_01111	group_1980
CFHKPG_01123	group_30
CFHKPG_01126	revA
CFHKPG_01127	group_427
CFHKPG_01128	group_785
CFHKPG_01132	group_249
CFHKPG_01133	group_637
CFHKPG_01134	bdrM
CFHKPG_01137	bppB
CFHKPG_01138	Tyr recombinase domain-containing protein
CFHKPG_01139	group_975
CFHKPG_01140	Erp22 protein
CFHKPG_01141	group_95
CFHKPG_01145	group_1783
CFHKPG_01146	group_1683
CFHKPG_01147	group_56
CFHKPG_01149	Cytosolic protein
CFHKPG_01151	group_47
CFHKPG_01157	DUF1322 domain-containing protein
CFHKPG_01160	group_1933
CFHKPG_01164	group_1481
CFHKPG_01169	group_1538
CFHKPG_01170	REP+ protein
CFHKPG_01171	mlpH
CFHKPG_01172	Erf family protein
CFHKPG_01175	group_433
CFHKPG_01176	group_625
CFHKPG_01177	bdrO
CFHKPG_01178	group_1950
CFHKPG_01179	group_1600
CFHKPG_01180	group_88
CFHKPG_01181	erpA
CFHKPG_01182	Erp51 protein
CFHKPG_01185	group_2034
CFHKPG_01215	group_29
CFHKPG_01217	group_310
CFHKPG_01218	group_531
CFHKPG_01219	bdrA
CFHKPG_01232	DUF643 domain-containing protein
CFHKPG_01233	group_518
CFHKPG_01234	group_783
CFHKPG_01238	DUF1640 domain-containing protein
CFHKPG_01239	group_440
CFHKPG_01240	PF-32 protein
CFHKPG_01241	group_1517
CFHKPG_01244	Mlp family lipoprotein
CFHKPG_01245	group_782
CFHKPG_01250	group_43
CFHKPG_01251	ORF09/2-9 ORF7
CFHKPG_01253	group_42
CFHKPG_01254	group_131
CFHKPG_01255	DUF693 domain-containing protein
CFHKPG_01257	group_1976
CFHKPG_01259	group_21
CFHKPG_01267	group_1670
CFHKPG_01268	group_1450
CFHKPG_01286	group_1629
CFHKPG_01295	Bdr
CFHKPG_01296	group_430
CFHKPG_01297	group_429
CFHKPG_01298	group_1944
CFHKPG_01313	mlpI
CFHKPG_01314	bdrR
CFHKPG_01315	group_33
CFHKPG_01331	group_1951
CFHKPG_01343	group_866
CFHKPG_01344	erpQ
CFHKPG_01345	erpP
CFHKPG_01346	bppC1
CFHKPG_01350	group_308
CFHKPG_01351	group_288
CFHKPG_01352	group_501
CFHKPG_01355	Single-stranded DNA-binding protein
CFHKPG_01356	group_59
CFHKPG_01359	group_2079
CFHKPG_01375	bdrH
CFHKPG_01376	mlpD
CFHKPG_01380	group_435
CFHKPG_01381	group_436
CFHKPG_01382	group_949
CFHKPG_01385	Putative phage integrase
CFHKPG_01386	erpH
CFHKPG_01387	Borrelia outer surface protein E
CFHKPG_01388	erpY
CFHKPG_01393	group_557
CFHKPG_01395	group_57
CFHKPG_01402	group_434
CFHKPG_01403	group_2060
CFHKPG_01409	group_1404
CFHKPG_01429	group_1977
CFHKPG_01431	group_947
CFHKPG_01432	eppA
CFHKPG_01438	group_618
CFHKPG_01439	group_158
CFHKPG_01443	group_635
CFHKPG_01462	group_1781
CFHKPG_01463	group_1739
CFHKPG_01472	group_1037
CFHKPG_01473	erpK
CFHKPG_01474	group_1688
CFHKPG_01477	group_443
CFHKPG_01478	group_442
CFHKPG_01479	group_441
CFHKPG_01481	group_52
CFHKPG_01483	group_180
CFHKPG_01484	putative helicase
CFHKPG_01485	P13 family porin
CFHKPG_01489	group_504
CFHKPG_01490	group_760
CFHKPG_01491	group_761
CFHKPG_01492	group_505
CFHKPG_01493	Tape measure domain protein
CFHKPG_01494	rdgC
CFHKPG_01495	group_2027
CFHKPG_01496	group_260
CFHKPG_01497	HK97 gp10 family phage protein
CFHKPG_01498	group_463
CFHKPG_01499	group_168
CFHKPG_01500	3D domain-containing protein
CFHKPG_01501	Terminase
CFHKPG_01503	group_661
CFHKPG_01504	Mlp lipoprotein family protein
CFHKPG_01505	group_902
CFHKPG_01506	group_49
CFHKPG_01507	Right handed beta helix domain-containing protein
CFHKPG_01508	group_488
CFHKPG_01509	group_487
CFHKPG_01510	DUF261 domain-containing protein
CFHKPG_01511	group_537
CFHKPG_01512	group_901
CFHKPG_01513	group_900
CFHKPG_01514	group_899
CFHKPG_01515	Replicative helicase
CFHKPG_01516	group_898
CFHKPG_01517	group_77
CFHKPG_01518	cspZ
CFHKPG_01519	yeeA
CFHKPG_01520	group_894
CFHKPG_01521	group_762
CFHKPG_01522	group_133
CFHKPG_01523	group_166
CFHKPG_01524	group_167
CFHKPG_01525	group_140
CFHKPG_01526	group_453
CFHKPG_01527	group_454
CFHKPG_01528	group_651
CFHKPG_01529	Antigen, P35, putative
CFHKPG_01530	adeC
CFHKPG_01531	group_324
CFHKPG_01533	group_536
CFHKPG_01535	group_31
CFHKPG_01536	Transposase putative helix-turn-helix domain-containing protein
CFHKPG_01537	group_298
CFHKPG_01539	group_297
CFHKPG_01541	Borrelia virulent strain associated lipoprotein
CFHKPG_01542	group_296
CFHKPG_01543	Borrelia burgdorferi virulent strain associated lipoprotein
CFHKPG_01544	complement regulator-acquiring protein
CFHKPG_01546	Transporter, major facilitator family
CFHKPG_01547	group_768
CFHKPG_01548	group_767
CFHKPG_01549	group_766
CFHKPG_01550	group_1149
CFHKPG_01551	Virulent strain associated lipoprotein
CFHKPG_01552	group_182
CFHKPG_01553	group_765
CFHKPG_01554	group_295
CFHKPG_01555	group_764
CFHKPG_01556	Borrelia ORF-A
CFHKPG_01557	group_242
CFHKPG_01558	Borrelia PFam57/62 partition protein
CFHKPG_01559	Partition protein
CFHKPG_01560	group_64
CFHKPG_01561	group_243
CFHKPG_01562	Oligopeptide permease-like protein
CFHKPG_01563	group_106
CFHKPG_01564	guaB
CFHKPG_01565	guaA
CFHKPG_01566	ospC
CFHKPG_01567	group_155
CFHKPG_01568	nCS2
CFHKPG_01569	group_615
CFHKPG_01570	group_616
CFHKPG_01571	immA
CFHKPG_01572	group_156
CFHKPG_01573	Putative ankyrin repeat protein BB_B28
CFHKPG_01574	group_108
CFHKPG_01575	acyP
CFHKPG_01576	group_534
CFHKPG_01577	resT
CFHKPG_01578	celB
CFHKPG_01579	celC
CFHKPG_01580	celA
CFHKPG_01581	alpha3-beta1 integrin-binding protein
CFHKPG_01582	group_136
CFHKPG_01583	cdsC
CFHKPG_01587	group_502
CFHKPG_01588	group_1640
CFHKPG_01589	Uncharacterized lipoprotein BBD10
CFHKPG_01590	Uncharacterized protein BBD11
CFHKPG_01591	Homing endonuclease LAGLIDADG domain-containing protein
CFHKPG_01592	BBD14-like protein
CFHKPG_01593	Uncharacterized membrane protein BB_D15
CFHKPG_01594	Uncharacterized protein BBD18
CFHKPG_01595	parA
CFHKPG_01596	Uncharacterized protein BBD22
CFHKPG_01599	group_139
CFHKPG_01600	group_1144
CFHKPG_01601	group_515
CFHKPG_01602	tM2
CFHKPG_01603	group_302
CFHKPG_01604	group_184
CFHKPG_01611	group_775
CFHKPG_01613	P52 family lipoprotein
CFHKPG_01614	group_89
EDIMDB_00890	group_513
EDIMDB_00891	group_183
EDIMDB_01061	group_953
EDIMDB_01083	group_1136
EDIMDB_01093	group_538
EDIMDB_01163	group_1794
EDIMDB_01164	group_1805
EDIMDB_01170	DUF1473 domain-containing protein
EDIMDB_01180	group_58
EDIMDB_01185	mlpA
EDIMDB_01187	group_195
EDIMDB_01195	group_1127
EDIMDB_01196	Erp protein
EDIMDB_01335	group_650
JKDFDB_00998	mlpF
JKDFDB_01151	mlpG
JKDFDB_01348	mlpC
JKDFDB_01386	group_520
JKDFDB_01424	group_1064
JKDFDB_01491	BBC07
JKDFDB_01492	group_776
JKDFDB_01493	BBC05
JKDFDB_01494	group_777
JKDFDB_01495	group_99
JKDFDB_01497	group_301
JKDFDB_01498	group_250
JKDFDB_01500	group_76
JKDFDB_01501	group_514
JKDFDB_01502	group_251
JKDFDB_01503	TM2 domain protein
JKDFDB_01564	group_601
OHDNIM_00118	group_889
OHDNIM_00119	group_890
OHDNIM_00120	group_891
OHDNIM_00323	Oligopeptide transport system substrate-binding protein
OHDNIM_00544	dedD
OHDNIM_00579	group_892
OHDNIM_00873	group_532
OHDNIM_00918	group_503
OHDNIM_00931	group_778
OHDNIM_00969	type I site-specific deoxyribonuclease
OHDNIM_00973	group_526
OHDNIM_00978	group_895
OHDNIM_01052	bdrQ
OHDNIM_01083	group_879
OHDNIM_01114	group_639
OHDNIM_01115	group_445
OHDNIM_01116	group_160
OHDNIM_01119	group_869
OHDNIM_01120	group_897
OHDNIM_01145	group_2029
OHDNIM_01153	group_306
OHDNIM_01154	TM2 domain-containing protein
OHDNIM_01201	group_519
OHDNIM_01202	group_784
OHDNIM_01203	group_141
OHDNIM_01207	Erp44 protein
OHDNIM_01256	group_903
OHDNIM_01282	group_904
OHDNIM_01286	group_508
OHDNIM_01289	group_181
OHDNIM_01290	group_763
OHDNIM_01291	group_294
OHDNIM_01292	group_97
OHDNIM_01304	group_535
OHDNIM_01305	group_884
OHDNIM_01318	group_137
OHDNIM_01324	group_888
OHDNIM_01335	erpM
OHDNIM_01348	group_254
OHDNIM_01349	group_456
OHDNIM_01350	group_255
OHDNIM_01351	group_45
OHDNIM_01355	PilZN3 domain-containing protein
OHDNIM_01356	group_910
OHDNIM_01357	DUF244 domain-containing protein
OHDNIM_01358	group_912
OHDNIM_01359	group_913
OHDNIM_01360	group_914
OHDNIM_01361	group_915
OHDNIM_01362	group_916
OHDNIM_01363	group_917
OHDNIM_01364	group_918
OHDNIM_01365	group_919
OHDNIM_01369	group_920
OHDNIM_01371	Putative vls recombination cassette Vls14a
APMGPK_00923	group_509
APMGPK_01028	group_952
APMGPK_01285	group_957
HAALMC_00778	group_612
HAALMC_00866	group_272
HAALMC_00902	dbpA
HAALMC_00924	group_125
HAALMC_00926	BbK2-10
HAALMC_00936	group_567
HAALMC_00942	group_1928
HAALMC_00943	group_2063
HAALMC_00946	group_157
HAALMC_00967	mlpL
HAALMC_00968	Erp45 protein
HAALMC_00972	group_1014
HAALMC_00978	group_1013
HAALMC_00989	group_65
HAALMC_00990	group_75
HAALMC_01006	group_246
HAALMC_01048	Mlp8
HAALMC_01050	group_328
HAALMC_01051	group_138
HAALMC_01052	group_319
HAALMC_01053	group_931
HAALMC_01054	Multidrug-efflux transporter-like protein
HAALMC_01055	group_1034
HAALMC_01056	group_1099
HAALMC_01057	group_1033
HAALMC_01058	Hemolysin accessory protein
HAALMC_01059	group_1032
HAALMC_01060	group_549
HAALMC_01062	group_1031
HAALMC_01064	group_551
HAALMC_01065	group_1030
HAALMC_01067	group_1029
HAALMC_01068	group_1028
HAALMC_01069	group_1027
HAALMC_01070	group_1026
HAALMC_01071	group_1206
HAALMC_01072	group_1084
HAALMC_01073	group_1025
HAALMC_01074	group_1024
HAALMC_01075	Transposase-like protein
HAALMC_01076	group_1022
HAALMC_01077	group_581
HAALMC_01103	group_170
HAALMC_01104	plasmid maintenance protein
HAALMC_01130	group_1009
HAALMC_01131	group_930
HAALMC_01132	group_318
HAALMC_01134	Antigen, P35-like protein
HAALMC_01135	Antigen, P35
HAALMC_01136	group_563
HAALMC_01137	group_927
HAALMC_01138	group_547
HAALMC_01139	group_926
HAALMC_01140	group_925
HAALMC_01142	group_191
HAALMC_01147	Glutamyl/glutaminyl-tRNA synthetase
HAALMC_01148	group_924
HAALMC_01149	group_317
HAALMC_01162	group_1008
HAALMC_01165	CRASP-2
HAALMC_01166	group_560
HAALMC_01188	group_562
HAALMC_01196	group_1098
HAALMC_01197	group_582
HAALMC_01202	group_331
HAALMC_01203	group_583
HAALMC_01204	variable large family protein
HAALMC_01207	group_584
HAALMC_01209	group_585
HAALMC_01216	group_127
HAALMC_01219	DnaB-like helicase C-terminal domain-containing protein
HAALMC_01221	group_90
HAALMC_01228	group_885
HAALMC_01229	Transposase, IS605 family
HAALMC_01231	group_1043
HAALMC_01236	group_262
HAALMC_01237	group_664
HAALMC_01238	group_663
HAALMC_01239	group_662
HAALMC_01252	group_325
HAALMC_01255	group_461
HAALMC_01256	group_460
HAALMC_01257	group_459
HAALMC_01258	group_660
HAALMC_01259	group_257
HAALMC_01260	BBG30-like protein
HAALMC_01261	group_458
HAALMC_01262	Bdr family repetitive protein
HAALMC_01265	Uncharacterized protein BBD24
HAALMC_01271	group_886
HAALMC_01277	Adenine deaminase
HAALMC_01278	group_466
HAALMC_01279	CRASP family complement regulator-acquiring lipoprotein
HAALMC_01281	group_561
HAALMC_01291	ORF15/rep
HAALMC_01292	mlp9
HAALMC_01298	ORF23/BdrA
HAALMC_01303	Erp47 protein
HAALMC_01304	elpB2
HAALMC_01306	group_1021
HAALMC_01310	ORF03
HAALMC_01325	group_87
HAALMC_01327	group_1656
HAALMC_01330	group_568
HAALMC_01331	group_569
HAALMC_01341	Erp43 protein
HAALMC_01342	group_1017
HAALMC_01343	group_994
HAALMC_01344	mlp10
HAALMC_01354	erpC
HAALMC_01360	group_1010
HAALMC_01364	Bbk2-11
HAALMC_01377	group_564
HAALMC_01379	group_1016
JKOCPB_00545	group_610
JKOCPB_00853	group_1150
JKOCPB_00854	group_872
JKOCPB_00856	group_1151
JKOCPB_00857	group_124
JKOCPB_00858	group_1305
JKOCPB_00859	group_1306
JKOCPB_00884	Arthropod-specific outer surface protein C
JKOCPB_00886	group_594
JKOCPB_00887	group_595
JKOCPB_00902	ospE
JKOCPB_00906	group_580
JKOCPB_00912	group_1278
JKOCPB_00933	group_747
JKOCPB_00934	DUF603 domain-containing protein
JKOCPB_00938	group_748
JKOCPB_00939	group_281
JKOCPB_00942	group_492
JKOCPB_00943	group_1156
JKOCPB_00944	group_1155
JKOCPB_00945	group_493
JKOCPB_00949	group_1154
JKOCPB_00950	group_179
JKOCPB_00951	group_737
JKOCPB_00952	group_738
JKOCPB_00953	group_1158
JKOCPB_00954	group_282
JKOCPB_00955	group_494
JKOCPB_00956	group_495
JKOCPB_00957	group_1157
JKOCPB_00958	group_822
JKOCPB_00959	group_283
JKOCPB_00960	group_284
JKOCPB_00961	BBA14 family lipoprotein
JKOCPB_00962	ERF family protein
JKOCPB_00963	group_742
JKOCPB_00965	group_497
JKOCPB_00966	group_743
JKOCPB_00967	group_744
JKOCPB_00969	group_745
JKOCPB_00991	group_876
JKOCPB_00992	Erp27 protein
JKOCPB_01002	group_1153
JKOCPB_01016	group_990
JKOCPB_01028	group_110
JKOCPB_01031	group_1184
JKOCPB_01054	group_533
JKOCPB_01055	group_588
JKOCPB_01118	group_756
JKOCPB_01119	group_446
JKOCPB_01122	group_1185
JKOCPB_01123	group_1186
JKOCPB_01139	group_887
JKOCPB_01165	replicative DNA helicase
JKOCPB_01166	group_577
JKOCPB_01167	group_657
JKOCPB_01176	group_114
JKOCPB_01177	group_653
JKOCPB_01179	group_115
JKOCPB_01190	group_462
JKOCPB_01207	group_79
JKOCPB_01208	group_263
JKOCPB_01209	group_465
JKOCPB_01233	group_457
JKOCPB_01234	DNA helicase
JKOCPB_01235	group_1000
JKOCPB_01256	orfB
JKOCPB_01258	group_1071
JKOCPB_01260	group_579
JKOCPB_01309	group_1001
GKLIPC_00493	group_871
GKLIPC_00856	group_113
GKLIPC_00860	group_640
GKLIPC_00861	group_976
GKLIPC_00871	group_977
GKLIPC_00916	group_979
GKLIPC_00930	group_980
GKLIPC_00974	tnpA
GKLIPC_00976	group_320
GKLIPC_00977	group_932
GKLIPC_00978	group_933
GKLIPC_00979	group_934
GKLIPC_00980	group_935
GKLIPC_00981	group_936
GKLIPC_00982	group_552
GKLIPC_00983	group_981
GKLIPC_00984	group_982
GKLIPC_00985	group_983
GKLIPC_00986	group_984
GKLIPC_00987	group_985
GKLIPC_01000	group_986
GKLIPC_01001	group_287
GKLIPC_01036	group_987
GKLIPC_01047	group_1077
GKLIPC_01069	group_874
GKLIPC_01070	group_988
GKLIPC_01071	group_989
GKLIPC_01104	group_991
GKLIPC_01114	group_992
GKLIPC_01126	group_993
GKLIPC_01136	erpG
GKLIPC_01171	group_995
GKLIPC_01181	Regulator
GKLIPC_01182	group_997
GKLIPC_01202	group_998
CLLBDG_00858	group_1046
CLLBDG_00877	group_1047
CLLBDG_00888	group_1048
CLLBDG_00889	group_1049
CLLBDG_00890	group_1050
CLLBDG_00911	group_1051
CLLBDG_00931	ORF17/2-9-9 lipoprotein
CLLBDG_00937	group_1053
CLLBDG_00984	Outer surface protein F
CLLBDG_01247	group_61
CLLBDG_01248	group_576
CLLBDG_01279	group_1055
CLLBDG_01303	group_1056
CLLBDG_01304	group_1057
KGIAJM_01507	group_1079
KGIAJM_01515	group_572
KGIAJM_01516	group_571
OLCIOJ_00648	group_1265
OLCIOJ_00910	group_1197
OLCIOJ_00940	group_1203
OLCIOJ_00943	outer surface protein F
OLCIOJ_00944	Integrase
OLCIOJ_01078	group_1196
OLCIOJ_01141	group_548
OLCIOJ_01208	group_172
OLCIOJ_01237	group_589
OLCIOJ_01262	Variable outer membrane protein
OLCIOJ_01298	group_1208
OLCIOJ_01304	group_1207
OLCIOJ_01340	group_1199
OLCIOJ_01341	group_1200
OLCIOJ_01345	group_1201
OLCIOJ_01346	group_1202
OLCIOJ_01355	group_1209
OLCIOJ_01357	group_1266
OLCIOJ_01366	erpL
OLCIOJ_01400	group_1147
OLCIOJ_01401	group_590
OLCIOJ_01418	group_1267
OLCIOJ_01419	group_1268
OLCIOJ_01423	group_591
OLCIOJ_01435	group_1269
OLCIOJ_01437	group_1270
BNDKBC_01193	group_1145
BNDKBC_01194	group_1146
ELJNOB_00990	group_1142
ELJNOB_01034	group_1097
ELJNOB_01042	group_1143
ELJNOB_01043	group_1129
ELJNOB_01044	group_1130
ELJNOB_01046	group_1131
ELJNOB_01047	group_1132
ELJNOB_01048	dcm
ELJNOB_01049	MvaI/BcnI restriction endonuclease domain-containing protein
ELJNOB_01300	group_1045
CBONDI_00860	group_1100
CBONDI_01093	Erp26 protein
CBONDI_01098	group_1066
CBONDI_01099	group_1065
CBONDI_01147	site-specific integrase
CBONDI_01215	group_1161
CBONDI_01216	group_1162
CBONDI_01217	group_1163
CBONDI_01218	group_1164
CBONDI_01219	group_1165
CBONDI_01220	group_1166
CBONDI_01221	group_1167
CBONDI_01222	group_1168
CBONDI_01223	group_1169
CBONDI_01224	group_1170
CBONDI_01225	group_1171
CBONDI_01226	group_1172
CBONDI_01227	group_1173
CBONDI_01228	group_1174
CBONDI_01229	Bdr protein
CBONDI_01230	group_1176
CBONDI_01232	group_1177
CBONDI_01233	group_1178
CBONDI_01234	group_1179
CBONDI_01235	group_1180
CBONDI_01236	group_1181
CBONDI_01237	group_1182
CBONDI_01238	group_1183
CBONDI_01313	group_1187
CBONDI_01315	group_1188
PGDEGP_00917	group_1096
FOOKID_00914	group_586
FOOKID_01160	group_878
FOOKID_01161	group_1263
EBOALB_00353	group_730
EBOALB_00862	group_1228
EBOALB_00940	group_622
EBOALB_00946	group_627
EBOALB_00964	group_1229
EBOALB_00966	group_1230
EBOALB_00982	group_873
EBOALB_00994	group_248
EBOALB_01005	group_1231
EBOALB_01022	group_1234
EBOALB_01029	group_499
EBOALB_01030	group_1235
EBOALB_01052	group_1232
EBOALB_01053	group_1233
EBOALB_01081	OspE-related lipoprotein
EBOALB_01086	group_754
EBOALB_01092	group_1237
EBOALB_01103	group_1238
EBOALB_01104	group_1239
EBOALB_01105	group_292
EBOALB_01106	group_1240
EBOALB_01124	group_1241
EBOALB_01157	group_1242
EBOALB_01163	group_724
EBOALB_01164	group_723
EBOALB_01165	group_486
EBOALB_01166	group_722
EBOALB_01185	group_455
EBOALB_01186	MTA/SAH nucleosidase
EBOALB_01218	group_1243
EBOALB_01219	group_1244
EBOALB_01220	group_592
EBOALB_01221	group_1245
EBOALB_01222	group_1246
EBOALB_01223	group_1247
EBOALB_01226	group_1248
EBOALB_01227	group_1249
EBOALB_01228	group_1250
EBOALB_01229	group_1251
EBOALB_01230	group_1252
EBOALB_01231	group_1253
EBOALB_01232	group_1254
EBOALB_01233	group_1255
EBOALB_01234	group_1256
EBOALB_01235	virulence associated lipoprotein
EBOALB_01236	group_1258
EBOALB_01237	group_1259
EBOALB_01238	group_1260
EBOALB_01239	group_593
EBOALB_01240	group_1274
EBOALB_01242	group_510
EBACPA_01189	group_1352
CEMKAM_00988	group_1374
CEMKAM_00989	group_1375
CEMKAM_01005	group_1372
CEMKAM_01015	group_1371
CEMKAM_01022	group_1376
CEMKAM_01024	group_1377
CEMKAM_01191	group_1373
CEMKAM_01193	group_602
CEMKAM_01195	group_1378
AIIKEN_00719	group_922
AIIKEN_00870	group_313
AIIKEN_00976	group_923
AIIKEN_01070	group_875
AIIKEN_01161	Mammal-specific outer surface protein C
AIIKEN_01184	group_937
AIIKEN_01185	group_938
AIIKEN_01186	group_939
AIIKEN_01187	group_553
AIIKEN_01237	group_940
AEPIPJ_01198	group_1332
AEPIPJ_01339	group_1333
AEPIPJ_01570	group_1334
AEPIPJ_01576	group_1335
EOHKMH_01026	group_1194
ECNPCP_01044	group_1328
ECNPCP_01045	group_1329
ECDEAP_00122	group_1309
ECDEAP_00123	group_1308
ECDEAP_00672	group_1307
ECDEAP_00931	group_1319
ECDEAP_00948	group_1324
ECDEAP_00949	group_1323
ECDEAP_00952	group_1322
ECDEAP_00957	group_599
ECDEAP_00958	group_335
ECDEAP_00981	group_1326
ECDEAP_01019	group_1315
ECDEAP_01024	group_507
ECDEAP_01026	Type IV restriction-modification system
ECDEAP_01027	group_1317
ECDEAP_01029	group_1318
ECDEAP_01057	group_1310
ECDEAP_01061	group_1353
ECDEAP_01078	group_1067
ECDEAP_01107	group_1313
ECDEAP_01177	group_1312
ECDEAP_01187	group_1311
ECDEAP_01220	group_750
ECDEAP_01273	group_1354
ECDEAP_01301	group_1355
ECDEAP_01302	group_1356
ECDEAP_01303	group_1357
ECDEAP_01304	group_1358
ECDEAP_01305	group_1359
ECDEAP_01310	group_1336
ECDEAP_01314	group_1360
ECDEAP_01337	Outer surface protein C
ECDEAP_01354	group_598
ECDEAP_01355	group_1314
ECDEAP_01356	group_289
ECDEAP_01363	group_1361
JCNJCL_00870	group_1101
JCNJCL_00879	group_838
JCNJCL_00880	group_837
JCNJCL_00881	group_836
JCNJCL_00882	group_835
JCNJCL_00883	group_834
JCNJCL_00886	group_833
JCNJCL_00887	group_832
JCNJCL_00888	group_831
JCNJCL_00889	group_830
JCNJCL_00890	group_829
JCNJCL_00892	group_828
JCNJCL_00893	group_827
JCNJCL_00894	group_826
JCNJCL_00895	group_825
JCNJCL_00896	group_824
JCNJCL_00900	group_823
JCNJCL_00904	group_850
