CKDGNL_00005	group_1080
CKDGNL_04545	BBA07 family lipoprotein
CKDGNL_04550	Antigen, S1
CKDGNL_04555	group_3963
CKDGNL_04560	Putative outer membrane protein BBA03
CKDGNL_04565	group_3873
CKDGNL_04570	group_2161
CKDGNL_04575	group_2162
CKDGNL_04580	N-6 DNA methylase
CKDGNL_04585	group_976
CKDGNL_04590	group_1779
CKDGNL_04595	group_2163
CKDGNL_04600	group_636
CKDGNL_04605	group_642
CKDGNL_04610	sIMPL
CKDGNL_04615	Putative antigen, P35
CKDGNL_04620	group_656
CKDGNL_04625	ade
CKDGNL_04630	group_3357
CKDGNL_04635	group_3767
CKDGNL_04640	DUF226 domain-containing protein
CKDGNL_04645	group_1786
CKDGNL_04650	group_3505
CKDGNL_04655	group_2166
CKDGNL_04660	group_1434
CKDGNL_04665	group_1439
CKDGNL_04670	fibronectin-binding protein
CKDGNL_04675	group_1792
CKDGNL_04680	group_1199
CKDGNL_04685	group_2168
CKDGNL_04690	Variable large protein
CKDGNL_04695	group_1797
CKDGNL_04700	group_2169
CKDGNL_04705	Uncharacterized protein BB_K41
CKDGNL_04710	group_2170
CKDGNL_04715	group_679
CKDGNL_04720	Immunogenic protein P37
CKDGNL_04725	group_1211
CKDGNL_04730	group_1215
CKDGNL_04735	Immunogenic protein P37, putative
CKDGNL_04740	Bbk49-like
CKDGNL_04745	group_857
CKDGNL_04750	group_1220
CKDGNL_04755	group_861
CKDGNL_04760	Protein p23
CKDGNL_04765	group_872
CKDGNL_04770	group_3343
CKDGNL_04775	group_1223
CKDGNL_04780	group_1226
CKDGNL_04785	group_1442
CKDGNL_04790	group_1236
CKDGNL_04795	group_2171
CKDGNL_04800	group_1798
CKDGNL_04805	Borrelia ORF-A
CKDGNL_04810	mtnN
CKDGNL_04815	group_1800
CKDGNL_04820	group_1443
CKDGNL_04825	Transposase
CKDGNL_04830	Lipoprotein
CKDGNL_04835	Virulent strain associated lipoprotein
CKDGNL_04840	BBC01
CKDGNL_04845	group_2172
CKDGNL_04850	group_3913
CKDGNL_04855	chromosome replication/partitioning protein
CKDGNL_04860	Transporter, major facilitator family
CKDGNL_04865	group_796
CKDGNL_04870	Borrelia burgdorferi virulent strain associated lipoprotein
CKDGNL_04875	P13 family porin
CKDGNL_04880	Borrelia virulent strain associated lipoprotein
CKDGNL_04885	group_1237
CKDGNL_04890	Surface antigen
CKDGNL_04895	group_1446
CKDGNL_04900	group_989
CKDGNL_04905	Site-specific DNA-methyltransferase (adenine-specific)
CKDGNL_04910	P12 family lipoprotein
CKDGNL_04915	group_1451
CKDGNL_04920	group_1801
CKDGNL_04925	group_2173
CKDGNL_04930	group_2174
CKDGNL_04935	group_1452
CKDGNL_04940	group_1240
CKDGNL_04945	group_2175
CKDGNL_04950	group_2176
CKDGNL_04955	group_2177
CKDGNL_04960	group_2178
CKDGNL_04965	group_2179
CKDGNL_04970	group_2180
CKDGNL_04975	group_2181
CKDGNL_04980	group_2182
CKDGNL_04985	group_2183
CKDGNL_04990	group_2184
CKDGNL_04995	group_2185
CKDGNL_05000	group_2186
CKDGNL_05005	group_2187
CKDGNL_05010	group_2188
CKDGNL_05015	group_2189
CKDGNL_05020	group_2190
CKDGNL_05025	group_2191
CKDGNL_05030	group_2192
CKDGNL_05035	group_216
CKDGNL_05040	group_2193
CKDGNL_05045	group_2194
CKDGNL_05050	group_2195
CKDGNL_05055	group_2196
CKDGNL_05060	group_2197
CKDGNL_05065	group_2198
CKDGNL_05070	group_251
CKDGNL_05075	group_2199
CKDGNL_05080	group_2200
CKDGNL_05085	group_2201
CKDGNL_05090	group_2202
CKDGNL_05095	group_2203
CKDGNL_05100	group_1453
CKDGNL_05105	Uncharacterized protein BBD18
CKDGNL_05110	Uncharacterized membrane protein BB_D15
CKDGNL_05115	BBD14-like protein
CKDGNL_05120	Homing endonuclease LAGLIDADG domain-containing protein
CKDGNL_05125	Uncharacterized protein BBD11
CKDGNL_05130	Uncharacterized lipoprotein BBD10
CKDGNL_05135	group_4045
CKDGNL_05140	group_1808
CKDGNL_05145	cdsE
CKDGNL_05150	group_681
CKDGNL_05155	group_2204
CKDGNL_05160	group_1241
CKDGNL_05165	group_1813
CKDGNL_05170	group_1815
CKDGNL_05175	group_1242
CKDGNL_05180	group_2205
CKDGNL_05185	group_682
CKDGNL_05190	group_261
CKDGNL_05195	group_1809
CKDGNL_05200	group_4047
CKDGNL_05205	group_3808
CKDGNL_05210	group_1806
CKDGNL_05215	group_4067
CKDGNL_05220	group_1803
CKDGNL_05225	group_997
CKDGNL_05230	group_3128
CKDGNL_05235	group_463
CKDGNL_05240	group_608
CKDGNL_05245	group_709
CKDGNL_05250	group_2207
CKDGNL_05255	group_2208
CKDGNL_05260	group_2209
CKDGNL_05265	group_2210
CKDGNL_05270	group_2211
CKDGNL_05275	group_2212
CKDGNL_05280	group_2213
CKDGNL_05285	group_2214
CKDGNL_05290	group_2215
CKDGNL_05295	group_2216
CKDGNL_05300	group_2217
CKDGNL_05305	group_2218
CKDGNL_05310	group_2219
CKDGNL_05315	group_2220
CKDGNL_05320	Putative lipoprotein, Borrelia protein family PFam60
CKDGNL_05325	group_2222
CKDGNL_05330	group_2223
CKDGNL_05335	group_2224
CKDGNL_05340	group_2225
CKDGNL_05345	group_2226
CKDGNL_05350	Nicotinamidase
CKDGNL_05355	group_2228
CKDGNL_05360	group_2229
CKDGNL_05365	group_2230
CKDGNL_05370	group_2231
CKDGNL_05375	group_2232
CKDGNL_05380	group_2233
CKDGNL_05385	group_2234
CKDGNL_05390	nCS2
CKDGNL_05395	group_2235
CKDGNL_05400	group_1817
CKDGNL_05405	immA
CKDGNL_05410	group_1454
CKDGNL_05415	Putative ankyrin repeat protein BB_B28
CKDGNL_05420	ptsG
CKDGNL_05425	acyP
CKDGNL_05430	group_1820
CKDGNL_05435	resT
CKDGNL_05440	celB
CKDGNL_05445	celC
CKDGNL_05450	celA
CKDGNL_05455	alpha3-beta1 integrin-binding protein
CKDGNL_05460	group_1247
CKDGNL_05465	group_1821
CKDGNL_05470	group_798
CKDGNL_05475	group_1456
CKDGNL_05480	parA
CKDGNL_05490	Oligopeptide permease-like protein
CKDGNL_05495	oppA
CKDGNL_05500	guaB
CKDGNL_05505	guaA
CKDGNL_05510	group_664
CKDGNL_05515	group_574
CKDGNL_05520	group_355
CKDGNL_05525	group_1457
CKDGNL_05530	group_2236
CKDGNL_05535	group_1823
CKDGNL_05540	group_4122
CKDGNL_05545	group_1257
CKDGNL_05550	group_502
CKDGNL_05555	mlpJ
CKDGNL_05560	group_1824
CKDGNL_05565	Rev
CKDGNL_05570	group_428
CKDGNL_05575	Borrelia BBR25 lipoprotein
CKDGNL_05580	group_1459
CKDGNL_05585	group_3825
CKDGNL_05590	group_880
CKDGNL_05595	group_586
CKDGNL_05600	group_102
CKDGNL_05605	group_881
CKDGNL_05610	group_1096
CKDGNL_05615	group_380
CKDGNL_05620	group_40
CKDGNL_05625	DUF759 domain-containing protein
CKDGNL_05630	group_518
CKDGNL_05635	group_230
CKDGNL_05640	group_714
CKDGNL_05645	group_392
CKDGNL_05650	group_159
CKDGNL_05655	bppA
CKDGNL_05660	group_730
CKDGNL_05665	group_800
CKDGNL_05670	group_193
CKDGNL_05675	group_910
CKDGNL_05680	group_2239
CKDGNL_05685	group_2240
CKDGNL_05690	group_2241
CKDGNL_05695	group_2242
CKDGNL_05700	Repeat motif-containing gene protein
CKDGNL_05705	group_2244
CKDGNL_05710	group_2245
CKDGNL_05715	group_2246
CKDGNL_05720	group_2247
CKDGNL_05725	group_1825
CKDGNL_05730	group_2248
CKDGNL_05735	group_2249
CKDGNL_05740	group_2250
CKDGNL_05745	group_2251
CKDGNL_05750	Pfs protein
CKDGNL_05755	group_2253
CKDGNL_05760	group_2254
CKDGNL_05765	group_19
CKDGNL_05770	group_2255
CKDGNL_05775	group_1826
CKDGNL_05780	group_914
CKDGNL_05785	group_560
CKDGNL_05790	group_803
CKDGNL_05795	group_2256
CKDGNL_05800	group_2257
CKDGNL_05805	group_2258
CKDGNL_05810	group_4125
CKDGNL_05815	group_1258
CKDGNL_05820	group_399
CKDGNL_05825	group_720
CKDGNL_05830	group_236
CKDGNL_05835	group_524
CKDGNL_05840	group_2259
CKDGNL_05845	group_51
CKDGNL_05850	group_381
CKDGNL_05855	group_1097
CKDGNL_05860	group_885
CKDGNL_05865	group_109
CKDGNL_05870	group_587
CKDGNL_05875	group_999
CKDGNL_05880	group_1828
CKDGNL_05885	group_437
CKDGNL_05890	group_1259
CKDGNL_05895	mlpI
CKDGNL_05900	group_506
CKDGNL_05905	group_507
CKDGNL_05910	group_439
CKDGNL_05915	group_481
CKDGNL_05920	group_2261
CKDGNL_05925	group_1834
CKDGNL_05930	group_2262
CKDGNL_05935	Tape measure domain protein
CKDGNL_05940	group_2263
CKDGNL_05945	group_2264
CKDGNL_05950	group_1835
CKDGNL_05955	group_2265
CKDGNL_05960	tnpA
CKDGNL_05965	group_1838
CKDGNL_05970	group_1460
CKDGNL_05975	group_2267
CKDGNL_05980	group_2268
CKDGNL_05985	group_2269
CKDGNL_05990	group_2270
CKDGNL_05995	group_2271
CKDGNL_06000	group_2272
CKDGNL_06005	group_2273
CKDGNL_06010	group_543
CKDGNL_06015	group_2274
CKDGNL_06020	group_2275
CKDGNL_06025	AAA domain-containing protein
CKDGNL_06030	group_2277
CKDGNL_06035	group_194
CKDGNL_06040	group_915
CKDGNL_06045	group_410
CKDGNL_06050	group_917
CKDGNL_06055	PF-49 protein
CKDGNL_06060	group_293
CKDGNL_06065	group_1000
CKDGNL_06070	erpP
CKDGNL_06075	erpQ
CKDGNL_06080	group_2279
CKDGNL_06085	group_33
CKDGNL_06090	DUF1640 domain-containing protein
CKDGNL_06095	group_2280
CKDGNL_06100	PF-32 protein
CKDGNL_06105	group_4116
CKDGNL_06110	group_442
CKDGNL_06115	group_2282
CKDGNL_06120	group_2283
CKDGNL_06125	group_4117
CKDGNL_06130	group_443
CKDGNL_06135	group_2284
CKDGNL_06140	group_2285
CKDGNL_06145	group_2286
CKDGNL_06150	group_2287
CKDGNL_06155	TM2 domain-containing protein
CKDGNL_06160	group_1466
CKDGNL_06165	erpK
CKDGNL_06170	Tyr recombinase domain-containing protein
CKDGNL_06175	group_2288
CKDGNL_06180	group_2289
CKDGNL_06185	group_2290
CKDGNL_06190	group_1260
CKDGNL_06195	group_2291
CKDGNL_06200	group_2292
CKDGNL_06205	group_2293
CKDGNL_06210	group_1469
CKDGNL_06215	group_2294
CKDGNL_06220	Outer surface protein F
CKDGNL_06225	group_2295
CKDGNL_06230	group_2296
CKDGNL_06235	group_2297
CKDGNL_06240	group_1021
CKDGNL_06245	group_2298
CKDGNL_06250	group_1842
CKDGNL_06255	group_2299
CKDGNL_06260	group_436
CKDGNL_06265	group_553
CKDGNL_06270	group_540
CKDGNL_06275	group_237
CKDGNL_06280	group_2300
CKDGNL_06285	DUF2007 domain-containing protein
CKDGNL_06290	group_1269
CKDGNL_06295	group_2302
CKDGNL_06300	group_2303
CKDGNL_06305	mlpF
CKDGNL_06310	group_2305
CKDGNL_06315	group_897
CKDGNL_06320	group_174
CKDGNL_06330	DUF228 domain-containing protein
CKDGNL_06340	group_3829
CKDGNL_06345	group_1843
CKDGNL_06350	Terminase large subunit gp17-like C-terminal domain-containing protein
CKDGNL_06355	group_286
CKDGNL_06360	Mlp family lipoprotein
CKDGNL_06365	group_2307
CKDGNL_06370	group_409
CKDGNL_06375	group_2308
CKDGNL_06380	group_742
CKDGNL_06385	group_3832
CKDGNL_06390	KID repeat family protein
CKDGNL_06395	group_290
CKDGNL_06400	group_1261
CKDGNL_06405	ORF12/BlyB
CKDGNL_06410	group_15
CKDGNL_06415	group_419
CKDGNL_06420	group_14
CKDGNL_06425	group_2309
CKDGNL_06430	group_117
CKDGNL_06435	REV protein
CKDGNL_06440	group_118
CKDGNL_06445	group_70
CKDGNL_06450	group_378
CKDGNL_06455	group_305
CKDGNL_06460	group_1830
AIHAAB_01415	rpoZ
AIHAAB_01435	nAGPA
AIHAAB_01540	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain
AIHAAB_01680	secE
AIHAAB_02005	group_2312
AIHAAB_03515	group_555
AIHAAB_03640	group_2313
AIHAAB_04365	group_3638
AIHAAB_04470	group_2314
AIHAAB_04480	group_1845
AIHAAB_04575	group_2315
AIHAAB_04580	group_1846
AIHAAB_04585	Blasticidin-S acetyltransferase
AIHAAB_04590	group_2319
AIHAAB_04595	group_1472
AIHAAB_04600	group_2324
AIHAAB_04605	pncA
AIHAAB_04610	Borrelia family protein PFam57/62
AIHAAB_04615	Partition protein
AIHAAB_04620	group_4098
AIHAAB_04625	group_3943
AIHAAB_04630	Borrelial persistence in ticks protein A
AIHAAB_04635	group_1479
AIHAAB_04640	group_1272
AIHAAB_04645	group_1865
AIHAAB_04650	group_1487
AIHAAB_04655	Uncharacterized domain protein
AIHAAB_04660	group_2343
AIHAAB_04665	Type I restriction enzyme R protein (HSDR_N)
AIHAAB_04675	group_2344
AIHAAB_04680	group_2337
AIHAAB_04690	group_1867
AIHAAB_04700	group_1482
AIHAAB_04705	group_1859
AIHAAB_04710	group_3944
AIHAAB_04715	group_4101
AIHAAB_04720	group_1107
AIHAAB_04725	group_924
AIHAAB_04730	group_2332
AIHAAB_04735	group_2327
AIHAAB_04740	group_1477
AIHAAB_04745	group_2321
AIHAAB_04750	group_1855
AIHAAB_04755	group_1849
AIHAAB_04760	group_2318
AIHAAB_04765	group_3203
AIHAAB_04770	group_3626
AIHAAB_04775	group_3920
AIHAAB_04780	group_1164
AIHAAB_04785	group_3572
AIHAAB_04790	group_3464
AIHAAB_04795	group_3671
AIHAAB_04800	Antigen, P35, putative
AIHAAB_04805	adeC
AIHAAB_04810	group_2350
AIHAAB_04815	group_1973
AIHAAB_04820	insQ
AIHAAB_04825	group_692
AIHAAB_04830	group_693
AIHAAB_04840	group_1974
AIHAAB_04845	group_2353
AIHAAB_04850	group_3171
AIHAAB_04855	group_3598
AIHAAB_04860	group_3673
AIHAAB_04865	group_3467
AIHAAB_04870	group_3574
AIHAAB_04875	group_1166
AIHAAB_04880	group_3923
AIHAAB_04885	group_3628
AIHAAB_04890	group_3206
AIHAAB_04895	Replicative helicase
AIHAAB_04900	group_1278
AIHAAB_04905	group_2356
AIHAAB_04910	group_2358
AIHAAB_04915	group_1871
AIHAAB_04920	DUF261 domain-containing protein
AIHAAB_04925	group_1875
AIHAAB_04930	group_1878
AIHAAB_04935	Right handed beta helix domain-containing protein
AIHAAB_04940	group_610
AIHAAB_04945	group_1501
AIHAAB_04950	Mlp lipoprotein family protein
AIHAAB_04955	group_2364
AIHAAB_04960	group_1035
AIHAAB_04965	Terminase
AIHAAB_04970	3D domain-containing protein
AIHAAB_04975	group_928
AIHAAB_04980	group_1881
AIHAAB_04985	HK97 gp10 family phage protein
AIHAAB_05000	rdgC
AIHAAB_05010	group_1887
AIHAAB_05015	group_2368
AIHAAB_05020	group_1502
AIHAAB_05025	group_1888
AIHAAB_05030	group_85
AIHAAB_05035	group_86
AIHAAB_05040	group_2369
AIHAAB_05045	group_698
AIHAAB_05050	putative helicase
AIHAAB_05055	group_1889
AIHAAB_05075	group_1294
AIHAAB_05080	ospC
AIHAAB_05105	group_1251
AIHAAB_05195	group_606
AIHAAB_05215	group_2370
AIHAAB_05310	Borrelia family protein
AIHAAB_05335	group_792
AIHAAB_05350	Borrelia virulent strain associated lipoprotein, paralogous family 60
AIHAAB_05355	group_2371
AIHAAB_05360	Borrelia burgdorferi virulent strain associated lipofamily protein
AIHAAB_05365	group_2373
AIHAAB_05370	group_2374
AIHAAB_05375	group_2375
AIHAAB_05380	group_1040
AIHAAB_05385	group_2376
AIHAAB_05390	group_2377
AIHAAB_05395	group_2378
AIHAAB_05400	group_414
AIHAAB_05405	group_2379
AIHAAB_05410	group_2380
AIHAAB_05415	group_2381
AIHAAB_05420	group_2382
AIHAAB_05425	group_2383
AIHAAB_05430	group_2033
AIHAAB_05435	group_1295
AIHAAB_05440	group_2384
AIHAAB_05445	group_1894
AIHAAB_05450	group_1895
AIHAAB_05455	group_668
AIHAAB_05460	group_1503
AIHAAB_05465	group_2385
AIHAAB_05470	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
AIHAAB_05475	group_1510
AIHAAB_05480	hypothetical protein
AIHAAB_05495	group_2392
AIHAAB_05500	group_2394
AIHAAB_05520	group_1514
AIHAAB_05525	group_1898
AIHAAB_05530	group_2390
AIHAAB_05535	group_1508
AIHAAB_05540	group_670
AIHAAB_05545	group_3127
AIHAAB_05550	group_996
AIHAAB_05555	group_1804
AIHAAB_05560	group_4066
AIHAAB_05565	group_1807
AIHAAB_05595	group_1517
AIHAAB_05600	group_2403
AIHAAB_05605	erpD
AIHAAB_05610	group_1903
AIHAAB_05615	group_1906
AIHAAB_05620	group_2407
AIHAAB_05625	repU
AIHAAB_05630	group_2414
AIHAAB_05635	group_687
AIHAAB_05640	CRASP-2
AIHAAB_05645	yeeA
AIHAAB_05650	group_2415
AIHAAB_05655	group_1203
AIHAAB_05660	Transmembrane protein
AIHAAB_05665	group_96
AIHAAB_05670	group_1912
AIHAAB_05675	group_2418
AIHAAB_05680	group_1523
AIHAAB_05685	group_1917
AIHAAB_05690	group_1918
AIHAAB_05695	Borrelia ORF-A superfamily
AIHAAB_05700	group_2419
AIHAAB_05705	group_1920
AIHAAB_05710	group_867
AIHAAB_05735	Bbk46-like
AIHAAB_05750	group_432
AIHAAB_05755	group_1050
AIHAAB_05760	mlpD
AIHAAB_05765	group_503
AIHAAB_05780	group_2421
AIHAAB_05785	group_1921
AIHAAB_05790	group_1126
AIHAAB_05830	group_3338
AIHAAB_05835	Uncharacterized protein BBD22
AIHAAB_05840	Uncharacterized protein BBD24
AIHAAB_05850	group_3224
AIHAAB_05855	group_3334
AIHAAB_05860	group_217
AIHAAB_05865	DUF603 domain-containing protein
AIHAAB_05870	group_804
AIHAAB_05875	erpY
AIHAAB_05880	Borrelia outer surface protein E
AIHAAB_05885	erpH
AIHAAB_05890	Putative phage integrase
AIHAAB_05895	group_559
AIHAAB_05940	group_778
AIHAAB_05945	group_1131
AIHAAB_05950	group_1923
AIHAAB_05955	group_940
AIHAAB_05960	group_2422
AIHAAB_05965	group_2423
AIHAAB_05970	group_2424
AIHAAB_05975	group_2425
AIHAAB_05980	group_2426
AIHAAB_05985	group_1532
AIHAAB_05990	group_2427
AIHAAB_05995	group_2428
AIHAAB_06000	group_752
AIHAAB_06005	group_1296
AIHAAB_06010	group_1928
AIHAAB_06015	group_495
AIHAAB_06060	Phage protein
AIHAAB_06065	group_1019
AIHAAB_06070	Erp protein
AIHAAB_06075	group_1929
AIHAAB_06085	group_573
AIHAAB_06090	group_1299
AIHAAB_06095	group_1534
AIHAAB_06100	group_1930
AIHAAB_06105	ospD
AIHAAB_06110	erpX
AIHAAB_06115	DUF643 domain-containing protein
AIHAAB_06120	group_9
AIHAAB_06125	group_222
AIHAAB_06130	group_10
AIHAAB_06135	group_1010
AIHAAB_06140	Erp22 protein
AIHAAB_06145	erpC
AIHAAB_06150	group_1538
AIHAAB_06155	group_377
AIHAAB_06160	group_61
AIHAAB_06165	group_147
AIHAAB_06185	group_4124
AIHAAB_06195	group_2431
AIHAAB_06200	eppA
AIHAAB_06205	erpG
AIHAAB_06210	group_1129
AIHAAB_06215	group_564
AIHAAB_06220	group_1539
AIHAAB_06240	fzo-like conserved region
AIHAAB_06255	group_1543
AIHAAB_06260	group_1544
AIHAAB_06265	group_1934
AIHAAB_06270	group_2433
AIHAAB_06275	group_2434
AIHAAB_06280	group_2435
AIHAAB_06285	group_1935
AIHAAB_06290	variable large family protein
AIHAAB_06295	group_3099
AIHAAB_06300	group_2436
AIHAAB_06305	group_2437
AIHAAB_06310	bdrM
AIHAAB_06315	group_2439
AIHAAB_06320	REP+ protein
AIHAAB_06325	mlpC
AIHAAB_06330	ERF family protein
AIHAAB_06335	Plasmid cp32-4, sequence at position 4-6kb
AIHAAB_06340	group_160
AIHAAB_06350	group_799
AIHAAB_06355	group_189
AIHAAB_06370	group_533
AIHAAB_06385	revA
AIHAAB_06390	group_3097
AIHAAB_06395	group_1936
AIHAAB_06400	group_2442
AIHAAB_06405	cdsA
AIHAAB_06410	group_950
AIHAAB_06415	group_1138
AIHAAB_06420	group_1546
AIHAAB_06425	group_958
AIHAAB_06430	group_1139
AIHAAB_06450	group_1547
AIHAAB_06455	group_916
AIHAAB_06460	group_275
AIHAAB_06465	group_887
AIHAAB_06470	group_1055
AIHAAB_06480	TM2 domain protein
AIHAAB_06485	group_1448
AIHAAB_06490	group_411
AIHAAB_06500	group_3834
AIHAAB_06510	group_2449
AIHAAB_06515	group_3826
AIHAAB_06525	group_1549
AIHAAB_06530	group_1937
AIHAAB_06535	group_879
AIHAAB_06550	group_899
AIHAAB_06555	group_734
AIHAAB_06560	group_188
AIHAAB_06570	group_408
AIHAAB_06575	group_1940
AIHAAB_06580	group_1059
AIHAAB_06590	PilZN3 domain-containing protein
AIHAAB_06595	group_1941
AIHAAB_06600	group_1066
AIHAAB_06605	group_2450
AIHAAB_06610	group_745
AIHAAB_06615	group_116
AIHAAB_06620	group_115
AIHAAB_06625	group_74
AIHAAB_06630	BBC05
AIHAAB_06635	group_776
AIHAAB_06640	group_969
AIHAAB_06645	BBC07
AIHAAB_06650	group_580
AIHAAB_06655	group_814
AIHAAB_06660	group_728
AIHAAB_06665	group_352
AIHAAB_06670	group_2451
AIHAAB_06675	group_353
AIHAAB_06680	group_1125
AIHAAB_06685	group_1942
APIDPD_00635	group_2535
APIDPD_00655	group_1943
APIDPD_00950	group_2452
APIDPD_02170	group_1104
APIDPD_04285	group_1140
APIDPD_04465	dbpA
APIDPD_04570	group_1308
APIDPD_04575	group_935
APIDPD_04580	group_863
APIDPD_04585	group_93
APIDPD_04590	group_91
APIDPD_04595	group_2453
APIDPD_04600	Uncharacterized lipoprotein BBF20
APIDPD_04605	group_2457
APIDPD_04695	group_1948
APIDPD_04700	plasmid maintenance protein
APIDPD_04705	group_1556
APIDPD_04710	group_1953
APIDPD_04715	group_978
APIDPD_04720	group_1783
APIDPD_04725	group_2164
APIDPD_04730	group_638
APIDPD_04735	group_646
APIDPD_04740	group_988
APIDPD_04745	group_653
APIDPD_04750	group_659
APIDPD_04755	group_3330
APIDPD_04760	group_3361
APIDPD_04765	group_3771
APIDPD_04770	group_3619
APIDPD_04775	group_1789
APIDPD_04780	group_3506
APIDPD_04785	group_1118
APIDPD_04790	group_1793
APIDPD_04795	group_1201
APIDPD_04800	group_2458
APIDPD_04805	group_1914
APIDPD_04810	group_2456
APIDPD_04820	group_82
APIDPD_04825	group_864
APIDPD_04830	group_936
APIDPD_04835	group_1310
APIDPD_04840	group_1031
APIDPD_04845	group_1559
APIDPD_04850	group_1143
APIDPD_04855	group_1955
APIDPD_04860	group_2460
APIDPD_04865	Multidrug-efflux transporter-like protein
APIDPD_04870	group_2461
APIDPD_04875	group_2462
APIDPD_04880	group_2463
APIDPD_04885	Hemolysin accessory protein
APIDPD_04890	group_2465
APIDPD_04895	group_1956
APIDPD_04900	group_816
APIDPD_04905	group_1560
APIDPD_04910	helix-turn-helix domain-containing protein
APIDPD_04915	group_2466
APIDPD_04920	Outer membrane lipoprotein-sorting protein
APIDPD_04925	ABC transporter permease protein
APIDPD_04930	group_2469
APIDPD_04940	group_2470
APIDPD_04945	group_1957
APIDPD_04950	group_1563
APIDPD_04955	group_2011
APIDPD_04960	group_2471
APIDPD_04965	group_2472
APIDPD_04970	Transposase-like protein
APIDPD_04975	group_1938
APIDPD_04980	group_1958
APIDPD_04985	group_1960
APIDPD_05115	site-specific DNA-methyltransferase (adenine-specific)
APIDPD_05120	group_2474
APIDPD_05125	group_755
APIDPD_05130	group_1564
APIDPD_05135	group_1961
APIDPD_05140	group_1964
APIDPD_05145	group_2477
APIDPD_05150	Glutamyl/glutaminyl-tRNA synthetase
APIDPD_05155	group_2481
APIDPD_05160	group_625
APIDPD_05165	group_626
APIDPD_05170	group_2482
APIDPD_05175	group_1316
APIDPD_05180	group_2478
APIDPD_05185	group_1965
APIDPD_05190	group_1962
APIDPD_05195	group_1565
APIDPD_05200	group_759
APIDPD_05205	group_2475
APIDPD_05210	group_467
APIDPD_05215	group_1969
APIDPD_05220	BBG30-like protein
APIDPD_05225	group_1568
APIDPD_05230	group_1569
APIDPD_05240	group_2487
APIDPD_05245	group_2488
APIDPD_05260	group_1321
APIDPD_05320	Methyl-accepting chemotaxis (MCP) signaling domain protein
APIDPD_05325	group_1971
APIDPD_05330	group_2489
APIDPD_05335	group_1570
APIDPD_05340	group_1160
APIDPD_05475	group_868
APIDPD_05510	group_2491
APIDPD_05515	Transposase, IS605 family
APIDPD_05520	Putative transposase DNA-binding domain protein
APIDPD_05525	group_2539
APIDPD_05530	group_1979
APIDPD_05535	group_2496
APIDPD_05540	CRASP family complement regulator-acquiring lipoprotein
APIDPD_05545	group_2497
APIDPD_05550	Adenine deaminase
APIDPD_05555	adenine deaminase C-terminal domain-containing protein
APIDPD_05580	group_2498
APIDPD_05595	group_2499
APIDPD_05655	group_3707
APIDPD_05660	group_3104
APIDPD_05665	group_1150
APIDPD_05670	group_1984
APIDPD_05675	group_2505
APIDPD_05680	group_808
APIDPD_05695	group_1988
APIDPD_05700	group_941
APIDPD_05710	group_1989
APIDPD_05715	group_1045
APIDPD_05720	group_769
APIDPD_05730	group_1075
APIDPD_05735	ORF05
APIDPD_05740	ORF04
APIDPD_05745	ORF03
APIDPD_05755	group_231
APIDPD_05760	ORF32
APIDPD_05765	group_2507
APIDPD_05770	group_805
APIDPD_05775	elpB2
APIDPD_05780	Erp47 protein
APIDPD_05785	bppC1
APIDPD_05790	group_575
APIDPD_05795	Uncharacterized protein family (ORF7) DUF
APIDPD_05800	group_1994
APIDPD_05805	group_2508
APIDPD_05810	group_1995
APIDPD_05815	group_255
APIDPD_05820	Antigen, P35-like protein
APIDPD_05825	Antigen, P35
APIDPD_05830	group_1996
APIDPD_05835	group_1997
APIDPD_05840	group_1598
APIDPD_05845	group_2514
APIDPD_05850	group_1998
APIDPD_05855	group_2515
APIDPD_05860	group_2516
APIDPD_05885	group_1580
APIDPD_05890	group_1581
APIDPD_05910	group_4020
APIDPD_05920	group_3342
APIDPD_05925	group_163
APIDPD_05930	group_394
APIDPD_05935	group_719
APIDPD_05940	group_233
APIDPD_05945	group_519
APIDPD_05955	group_48
APIDPD_05960	group_1325
APIDPD_05965	DnaB-like helicase C-terminal domain-containing protein
APIDPD_05970	Type I restriction enzyme r protein
APIDPD_05975	group_2517
APIDPD_05980	group_1082
APIDPD_05985	Erp45 protein
APIDPD_05990	mlpL
APIDPD_05995	group_29
APIDPD_06000	group_480
APIDPD_06005	group_2522
APIDPD_06010	group_2523
APIDPD_06015	bdrO
APIDPD_06020	group_1076
APIDPD_06025	group_523
APIDPD_06030	group_235
APIDPD_06035	group_722
APIDPD_06040	Phage tail sheath protein
APIDPD_06045	group_162
APIDPD_06050	group_308
APIDPD_06055	group_2000
APIDPD_06065	group_423
APIDPD_06095	Erp51 protein
APIDPD_06100	erpA
APIDPD_06105	group_155
APIDPD_06120	group_718
APIDPD_06130	group_1128
APIDPD_06135	Erp44 protein
APIDPD_06140	group_1468
APIDPD_06145	Erp43 protein
APIDPD_06150	group_2525
APIDPD_06155	group_31
APIDPD_06160	group_2526
APIDPD_06170	group_139
APIDPD_06175	group_822
APIDPD_06195	ORF23/BdrA
APIDPD_06215	group_89
APIDPD_06220	group_835
APIDPD_06225	group_1227
APIDPD_06235	group_836
APIDPD_06240	group_882
APIDPD_06250	group_383
APIDPD_06255	group_66
